名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,血液型,都道府県,都道府県コード,電話番号,携帯,キャリア,カレーの食べ方
大西 米蔵,おおにし よねぞう,oonishi_yonezou@example.com,男,63,1956/3/7,既婚,O型,埼玉県,11,097-835- 790,090-6830-5180,ドコモ,左ルー・ルー攻め派
平田 一代,ひらた かずよ,hirata_kazuyo@example.com,女,68,1951/12/8,既婚,O型,熊本県,43,054-249-7346,080-4116-7959,ドコモ,左ルー・ナン派
坂元 敏和,さかもと としかず,sakamoto_toshikazu@example.com,男,71,1948/6/12,既婚,O型,兵庫県,28,057-536-9018,090-4914- 147,ドコモ,左ルー・混ぜ混ぜ派
臼井 涼子,うすい りょうこ,usui_ryouko@example.com,女,75,1944/5/18,既婚,A型,大阪府,27,039-991-6094,090-8914-5488,au,左ルー・別口派
北野 那奈,きたの なな,kitano_nana@example.com,女,16,2003/10/14,未婚,O型,北海道,01,096-818-4216,080- 334-4989,au,左ルー・ルー攻め派
大和 光臣,やまと みつおみ,yamato_mitsuomi1@example.com,男,77,1942/7/10,既婚,B型,熊本県,43,078-480-  86,090-4231-4026,ドコモ,奥ルー・ナン派
奥村 秀樹,おくむら ひでき,okumura_hideki@example.com,男,73,1946/9/20,既婚,A型,静岡県,22,093-280-6792,090-6441-8082,au,左ルー・別口派
浅沼 美佳,あさぬま みか,asanuma_mika@example.com,女,45,1974/7/19,既婚,B型,東京都,13,087-211-9139,080-9929-9062,ドコモ,左ルー・別口派
小泉 雅彦,こいずみ まさひこ,koizumi_masahiko@example.com,男,10,2009/2/24,未婚,B型,群馬県,10,032-605-4048,090-1072-3946,au,左ルー・ルー攻め派
山岡 染五郎,やまおか そめごろう,yamaoka_somegorou@example.com,男,52,1967/7/21,既婚,O型,岐阜県,21,093-288-9962,080-1755-5979,ドコモ,左ルー・せき止め派
中根 景子,なかね けいこ,nakane_keiko1@example.com,女,85,1934/9/2,既婚,O型,奈良県,29,033-846-8369,080-8335-9240,ドコモ,ぶっかけ・せき止め派
重松 芽以,しげまつ めい,shigematsu_mei@example.com,女,55,1964/5/25,既婚,O型,神奈川県,14,043-210-7883,080-4680-6265,au,左ルー・ルー攻め派
佐久間 由宇,さくま ゆう,sakuma_yuu@example.com,女,75,1944/10/18,既婚,O型,福岡県,40,032-167-2574,080-3043-5114,ドコモ,左ルー・せき止め派
パンツェッタ 仁,ぱんつぇった じん,panzetta_jin@example.com,男,54,1965/8/11,既婚,A型,東京都,13,099-165-2649,080-9600-8340,ドコモ,ぶっかけ・混ぜ混ぜ派
島本 ヒロ,しまもと ひろ,shimamoto_hiro@example.com,男,39,1980/7/9,既婚,O型,三重県,24,033-773-5419,090-6361-9422,ツーカー,ぶっかけ・混ぜ混ぜ派
岩城 満,いわき みつる,iwaki_mitsuru@example.com,男,60,1959/4/27,既婚,A型,埼玉県,11,055- 52- 475,080-7006-8348,ドコモ,左ルー・ルー攻め派
武田 文世,たけだ ふみよ,takeda_fumiyo@example.com,女,43,1976/12/4,既婚,A型,静岡県,22,071-284-5429,080-1613-3514,ドコモ,ぶっかけ・ナン派
乾 高史,いぬい たかし,inui_takashi@example.com,男,50,1969/4/5,既婚,A型,新潟県,15,0 6- 23-4791,080-5621-1258,au,奥ルー・ルー攻め派
竹原 翔太,たけはら しょうた,takehara_shouta@example.com,男,77,1942/3/3,既婚,O型,愛知県,23,015-725-2610,080-4416-6070,ドコモ,奥ルー・せき止め派
石田 遥,いしだ はるか,ishida_haruka@example.com,女,40,1979/10/12,既婚,B型,長野県,20,098-596-1614,080-5879-6876,ドコモ,ぶっかけ・せき止め派
小谷 美優,こたに みゅう,kotani_myuu@example.com,女,68,1951/11/18,既婚,A型,京都府,26,046-393- 963,080-1661-2907,ドコモ,ぶっかけ・ルー攻め派
古谷 愛子,ふるたに あいこ,furutani_aiko@example.com,女,51,1969/1/27,既婚,A型,静岡県,22,077-514-7297,090-4054-7770,ソフトバンク,手前ルー・別口派
北山 みき,きたやま みき,kitayama_miki@example.com,女,77,1942/12/16,既婚,O型,兵庫県,28,048-567-8614,090-9141-8491,ソフトバンク,左ルー・混ぜ混ぜ派
梅沢 まさみ,うめざわ まさみ,umezawa_masami@example.com,女,17,2002/6/11,未婚,B型,大阪府,27,054-190-5682,090-8983- 732,ドコモ,ぶっかけ・せき止め派
澤田 陽子,さわだ ようこ,sawada_youko1@example.com,女,66,1953/7/25,既婚,A型,広島県,34,062-605-9535,080-2912-2473,ソフトバンク,右ルー・混ぜ混ぜ派
山田 真一,やまだ しんいち,yamada_shinichi@example.com,男,10,2009/11/29,未婚,O型,群馬県,10,038-799-8857,080-9542-1091,ソフトバンク,ぶっかけ・ルー攻め派
福田 さやか,ふくだ さやか,fukuda_sayaka@example.com,女,46,1973/10/22,既婚,B型,兵庫県,28,017-920-7428,080-  52-2315,ソフトバンク,左ルー・せき止め派
稲田 育子,いなだ いくこ,inada_ikuko@example.com,女,46,1973/8/12,既婚,O型,大阪府,27,047-962-4492,090-8698-8310,ドコモ,左ルー・別口派
美輪 那奈,みわ なな,miwa_nana@example.com,女,69,1950/12/20,既婚,A型,埼玉県,11,013-991-8139,090-3557-7554,au,奥ルー・別口派
青木 充則,あおき みつのり,aoki_mitsunori@example.com,男,46,1973/7/11,既婚,A型,千葉県,12,050- 13-1146,090-6351-9971,au,右ルー・ルー攻め派
高岡 裕次郎,たかおか ゆうじろう,takaoka_yuujirou1@example.com,男,85,1934/6/6,既婚,A型,東京都,13,082-683-3166,080-8107-3387,ドコモ,左ルー・せき止め派
井村 和香,いむら わか,imura_waka@example.com,女,52,1967/2/20,既婚,O型,兵庫県,28,053-957-6217,080-1574-3659,ドコモ,右ルー・ルー攻め派
門田 薫,かどた かおる,kadota_kaoru@example.com,男,84,1936/1/8,既婚,B型,神奈川県,14,035-477- 506,090- 603- 397,au,ぶっかけ・ルー攻め派
明石 拓郎,あかし たくろう,akashi_takurou@example.com,男,16,2003/11/7,未婚,O型,神奈川県,14,034-292-6883,090-5238-3549,au,奥ルー・ルー攻め派
新井 人志,あらい ひとし,arai_hitoshi@example.com,男,82,1937/10/5,既婚,O型,新潟県,15,0 7-206-6369,080-1957-7600,ドコモ,左ルー・ルー攻め派
河村 礼子,かわむら れいこ,kawamura_reiko@example.com,女,18,2002/2/9,未婚,A型,千葉県,12,041-537-2417,080-8613- 509,au,左ルー・せき止め派
岡田 瑠璃亜,おかだ るりあ,okada_ruria@example.com,女,62,1957/5/24,既婚,O型,栃木県,09,031-975-4931,080-7732-5551,au,手前ルー・混ぜ混ぜ派
石井 美佐,いしい みさ,ishii_misa@example.com,女,55,1965/1/4,既婚,O型,大阪府,27,049-736- 959,080-2364-9994,ドコモ,左ルー・ナン派
長谷 芽以,ながや めい,nagaya_mei@example.com,女,38,1981/4/10,既婚,A型,大阪府,27,043-440- 130,090-8655-7877,ドコモ,左ルー・せき止め派
河原 ノブヒコ,かわはら のぶひこ,kawahara_nobuhiko@example.com,男,24,1995/9/27,未婚,O型,山形県,06,088-577-  45,080-7441-7464,au,ぶっかけ・ナン派
小池 一恵,こいけ かづえ,koike_kadue@example.com,女,48,1971/9/17,既婚,A型,愛知県,23,0 9-806-6228,080-7543-5869,ドコモ,別盛り・ナン派
浜野 慶太,はまの けいた,hamano_keita@example.com,男,75,1944/8/1,既婚,AB型,愛知県,23,013-290-7212,090-4724-4199,ソフトバンク,ぶっかけ・混ぜ混ぜ派
尾上 瞬,おがみ しゅん,ogami_shun@example.com,女,36,1983/8/18,既婚,A型,大阪府,27,0 8-636-4966,090-1154-7509,ツーカー,別盛り・せき止め派
永田 美佐子,ながた みさこ,nagata_misako@example.com,女,79,1940/9/21,既婚,A型,福岡県,40,041-804-2296,080-4201-6254,ソフトバンク,左ルー・ルー攻め派
北島 俊二,きたじま しゅんじ,kitajima_shunji@example.com,男,75,1944/10/9,既婚,B型,神奈川県,14,023- 50-7795,090-3051-3362,au,右ルー・せき止め派
本多 恵望子,ほんだ えみこ,honnda_emiko@example.com,女,37,1982/8/16,既婚,A型,千葉県,12,077-413-5661,080-    -8554,au,別盛り・せき止め派
梅沢 崇史,うめざわ たかし,umezawa_takashi@example.com,男,16,2003/6/22,未婚,B型,神奈川県,14,055- 15-6824,090-6244-5021,au,左ルー・ルー攻め派
五大 南朋,ごだい なお,godai_nao@example.com,女,63,1956/10/18,既婚,B型,愛知県,23,089- 15-2547,080-3105-9964,ドコモ,手前ルー・別口派
上山 守,かみやま まもる,kamiyama_mamoru@example.com,男,25,1994/9/16,既婚,A型,群馬県,10,0 3-606-8542,080-3636- 282,ソフトバンク,奥ルー・ルー攻め派
川原 明,かわはら あきら,kawahara_akira@example.com,男,18,2001/12/8,未婚,B型,千葉県,12,091-796-8849,080-1941- 192,ソフトバンク,ぶっかけ・別口派
橋口 三郎,はしぐち さぶろう,hashiguchi_saburou@example.com,男,61,1958/3/8,既婚,A型,東京都,13,016-201-9515,080-4641-2293,ドコモ,ぶっかけ・混ぜ混ぜ派
福田 ケンイチ,ふくだ けんいち,fukuda_kenichi@example.com,男,29,1990/4/7,既婚,A型,東京都,13,076-699-7096,080-3250-1354,au,左ルー・せき止め派
大森 早紀,おおもり さき,oomori_saki@example.com,女,61,1958/9/15,既婚,A型,熊本県,43,099-571-4782,080-7972-9695,ソフトバンク,ぶっかけ・混ぜ混ぜ派
西脇 真帆,にしわき まほ,nishiwaki_maho@example.com,女,81,1938/8/11,既婚,O型,佐賀県,41,045-769- 760,090-5756-6753,au,左ルー・別口派
小菅 慢太郎,こすげ まんたろう,kosuge_mantarou@example.com,男,63,1956/5/4,既婚,AB型,大阪府,27,088-493-2200,090-6583-7476,ソフトバンク,奥ルー・混ぜ混ぜ派
植木 由美子,うえき ゆみこ,ueki_yumiko@example.com,女,33,1986/3/31,既婚,AB型,青森県,02,079-322-6699,090-3756-1373,ドコモ,左ルー・混ぜ混ぜ派
江川 はじめ,えがわ はじめ,egawa_hajime@example.com,男,60,1959/6/1,既婚,AB型,千葉県,12,021- 86-2054,080-2769-7379,ソフトバンク,ぶっかけ・ルー攻め派
前川 丈史,まえかわ たけし,maekawa_takeshi@example.com,男,49,1970/11/27,既婚,AB型,岐阜県,21,082-542-7140,080-8400-7503,ドコモ,別盛り・せき止め派
新垣 大樹,にいがき ひろき,niigaki_hiroki@example.com,男,34,1985/5/10,既婚,O型,長野県,20,0  -794-2420,080-6388-2502,au,別盛り・混ぜ混ぜ派
妹尾 瑠璃亜,せお るりあ,seo_ruria1@example.com,女,68,1951/3/11,既婚,O型,愛媛県,38,077-240-1945,090- 569-3071,au,左ルー・ナン派
美輪 あさみ,みわ あさみ,miwa_asami@example.com,女,34,1985/7/31,未婚,A型,埼玉県,11,021-974-7511,080-2679-3529,ドコモ,ぶっかけ・別口派
沖 真奈美,おき まなみ,oki_manami@example.com,女,15,2004/7/31,未婚,AB型,千葉県,12,031- 29-4107,080-1741-5377,ドコモ,左ルー・混ぜ混ぜ派
河村 竜次,かわむら りゅうじ,kawamura_ryuuji@example.com,男,13,2006/12/12,未婚,O型,熊本県,43,083- 32-3271,090-4035-2405,au,左ルー・ルー攻め派
大石 文世,おおいし ふみよ,ooishi_fumiyo@example.com,女,59,1960/3/31,既婚,O型,群馬県,10,077- 42- 426,080-7372-6644,ソフトバンク,別盛り・混ぜ混ぜ派
柳 広司,やなぎ こうじ,yanagi_kouji@example.com,男,82,1937/5/31,既婚,A型,佐賀県,41,095-165-2157,080-7033-9678,ソフトバンク,左ルー・別口派
宮崎 基祐,みやざき きすけ,miyazaki_kisuke@example.com,男,66,1954/1/13,既婚,O型,神奈川県,14,0 1-682- 122,090-9499-9081,ドコモ,左ルー・せき止め派
三村 あさみ,みむら あさみ,mimura_asami@example.com,女,24,1995/4/27,未婚,A型,宮城県,04,097-418-9202,080-9886-8117,au,手前ルー・混ぜ混ぜ派
横尾 拓郎,よこお たくろう,yokoo_takurou@example.com,男,19,2001/1/6,未婚,B型,埼玉県,11,045-272-2630,080-2818-1948,au,ぶっかけ・せき止め派
今西 陽子,いまにし ようこ,imanishi_youko@example.com,女,50,1969/4/13,既婚,A型,岡山県,33,015-749-9058,080- 940-4109,ドコモ,ぶっかけ・せき止め派
相沢 聡,あいざわ さとし,aizawa_satoshi@example.com,男,50,1969/4/19,既婚,O型,大阪府,27,061-876-9597,080-2677-9632,ドコモ,左ルー・ナン派
柴山 みき,しばやま みき,shibayama_miki@example.com,女,34,1985/10/15,既婚,A型,大阪府,27,074- 71-2897,080-5125-4394,ドコモ,左ルー・混ぜ混ぜ派
砂川 努,すなかわ つとむ,sunakawa_tsutomu@example.com,男,61,1958/2/22,既婚,O型,東京都,13,049-785-1012,080- 619-7624,au,左ルー・ルー攻め派
若林 徹平,わかばやし てっぺい,wakabayashi_teppei@example.com,男,62,1957/7/19,既婚,O型,奈良県,29,090- 89-9980,090-6804-4396,ソフトバンク,ぶっかけ・ルー攻め派
奥寺 沙耶,おくでら さや,okudera_saya@example.com,女,39,1980/11/29,既婚,A型,茨城県,08,028-875-9951,080- 228-7617,au,ぶっかけ・混ぜ混ぜ派
村木 友也,むらき ともや,muraki_tomoya@example.com,男,75,1944/12/5,既婚,O型,沖縄県,47,013-343-6848,090-8550- 865,ドコモ,ぶっかけ・ルー攻め派
小玉 美希,こだま みき,kodama_miki@example.com,女,40,1979/11/24,既婚,O型,愛知県,23,092-786-1209,090-4448-2040,au,左ルー・せき止め派
堀田 恵望子,ほった えみこ,hotta_emiko@example.com,女,26,1993/10/14,未婚,A型,北海道,01,012-401-8030,090-1940-4538,au,左ルー・ナン派
大島 徹,おおしま とおる,ooshima_tooru@example.com,男,20,2000/2/6,未婚,A型,兵庫県,28,087- 39-5466,080-8425-1915,ソフトバンク,左ルー・別口派
松村 惇,まつむら あつし,matsumura_atsushi@example.com,男,44,1975/8/1,既婚,O型,岡山県,33,026- 44-8455,080-3930-3060,au,ぶっかけ・別口派
橋口 佳乃,はしぐち よしの,hashiguchi_yoshino@example.com,女,65,1954/6/12,既婚,A型,千葉県,12,035-318-3702,090-7921-4257,au,奥ルー・せき止め派
本多 ひかり,ほんだ ひかり,honnda_hikari@example.com,女,61,1958/6/25,既婚,A型,静岡県,22,092-651-8087,090-5241-3327,ソフトバンク,ぶっかけ・ルー攻め派
森井 圭,もりい けい,morii_kei@example.com,男,31,1989/1/11,未婚,O型,兵庫県,28,059-455-3963,090-1468-6691,au,ぶっかけ・せき止め派
塩谷 一,しおたに はじめ,shiotani_hajime@example.com,男,66,1953/10/5,既婚,A型,静岡県,22,015-537-9464,080-8470-5361,au,ぶっかけ・せき止め派
志賀 遥,しが はるか,shiga_haruka@example.com,女,27,1992/10/12,未婚,B型,埼玉県,11,061-229-7150,090- 418- 925,au,奥ルー・ルー攻め派
塩田 恵梨香,しおた えりか,shiota_erika@example.com,女,11,2008/4/19,未婚,B型,宮崎県,45,074-301-3486,090-1812-1295,ドコモ,左ルー・せき止め派
島袋 莉沙,しまぶくろ りさ,shimabukuro_risa@example.com,女,78,1941/3/31,既婚,O型,神奈川県,14,049-922-6598,090-8924-6067,ドコモ,ぶっかけ・せき止め派
杉野 公顕,すぎの きみあき,sugino_kimiaki@example.com,男,84,1935/11/7,既婚,B型,熊本県,43,061-929-6619,080-5067-3160,ツーカー,左ルー・ルー攻め派
庄司 あい,しょうじ あい,shouji_ai@example.com,女,29,1990/5/11,未婚,A型,静岡県,22,043-419-4249,090-1852-2489,au,左ルー・ルー攻め派
吉田 明日,よしだ めいび,yoshida_meibi@example.com,女,73,1946/7/30,既婚,A型,茨城県,08,037-802-5991,090-7281-3226,ソフトバンク,右ルー・別口派
田川 あや子,たがわ あやこ,tagawa_ayako@example.com,女,51,1969/1/12,既婚,A型,北海道,01,026-687-7912,090- 781-8202,ドコモ,奥ルー・ルー攻め派
榊原 大五郎,さかきばら だいごろう,sakakibara_daigorou@example.com,男,85,1934/3/28,既婚,O型,福島県,07,069-  8-4933,090- 247-3481,ドコモ,奥ルー・混ぜ混ぜ派
浜本 慎之介,はまもと しんのすけ,hamamoto_shinnosuke@example.com,男,71,1948/4/6,既婚,O型,長野県,20,060-273-6390,080-5731-3773,ドコモ,奥ルー・ルー攻め派
木村 洋,きむら よう,kimura_you@example.com,男,14,2005/3/2,未婚,B型,群馬県,10,044-766-3908,090- 709-8034,ドコモ,右ルー・混ぜ混ぜ派
小池 淳子,こいけ あつこ,koike_atsuko@example.com,女,38,1981/11/19,既婚,B型,大阪府,27,098-351-5970,080-5077-6447,ドコモ,手前ルー・別口派
高柳 隆,たかやなぎ たかし,takayanagi_takashi@example.com,男,29,1991/1/20,既婚,B型,北海道,01,048- 86-1854,090-8035-3903,ソフトバンク,奥ルー・別口派
佐々木 朝香,ささき あさか,sasaki_asaka@example.com,女,11,2008/5/8,未婚,O型,東京都,13,061-275-3032,090-7492-6465,ソフトバンク,左ルー・混ぜ混ぜ派
森山 美佐子,もりやま みさこ,moriyama_misako@example.com,女,44,1975/7/22,既婚,A型,大阪府,27,042-316-8781,080-6316-5690,au,右ルー・混ぜ混ぜ派
大川 孝太郎,おおかわ こうたろう,ookawa_koutarou@example.com,男,67,1953/2/10,既婚,O型,群馬県,10,059-361-9723,090-4679-2107,ドコモ,右ルー・混ぜ混ぜ派
立花 啓介,たちばな けいすけ,tachibana_keisuke@example.com,男,76,1944/2/14,既婚,A型,福岡県,40,015-880-5640,090-2933-7946,ドコモ,ぶっかけ・せき止め派
大谷 祐基,おおたに ゆうき,ootani_yuuki@example.com,男,54,1966/2/13,既婚,B型,長野県,20,083-806-5011,090-9032-5326,ドコモ,左ルー・ナン派
大谷 秀隆,おおたに ひでたか,ootani_hidetaka@example.com,男,38,1981/10/24,既婚,A型,山形県,06,099-218-5919,080-3835-3379,au,左ルー・ルー攻め派
中林 竜次,なかばやし りゅうじ,nakabayashi_ryuuji@example.com,男,68,1951/10/13,既婚,O型,神奈川県,14,081-582-8730,090-1082-4103,ドコモ,ぶっかけ・混ぜ混ぜ派
宮沢 まひる,みやざわ まひる,miyazawa_mahiru@example.com,女,39,1980/7/30,既婚,A型,愛媛県,38,059-221-5041,080-3719- 905,ドコモ,手前ルー・混ぜ混ぜ派
平林 美佐,ひらばやし みさ,hirabayashi_misa@example.com,女,59,1960/5/11,既婚,O型,大阪府,27,026-396-1592,090-5787-4198,ドコモ,左ルー・ルー攻め派
大滝 さとみ,おおたき さとみ,ootaki_satomi@example.com,女,66,1953/3/4,既婚,O型,愛知県,23,0 2-556-5525,090-6383-8259,au,ぶっかけ・ルー攻め派
相川 ひかり,あいかわ ひかり,aikawa_hikari@example.com,女,51,1968/3/4,既婚,O型,長野県,20,090-119-5689,090-2726-6776,ドコモ,左ルー・せき止め派
池内 友也,いけうち ともや,ikeuchi_tomoya@example.com,男,20,1999/10/12,未婚,AB型,群馬県,10,040-923-7251,080-3457-5463,ソフトバンク,ぶっかけ・ルー攻め派
松崎 英嗣,まつざき ひでつぐ,matsuzaki_hidetsugu@example.com,男,41,1978/10/11,既婚,AB型,宮城県,04,078-261-8878,080-7531-9622,ドコモ,ぶっかけ・ルー攻め派
上田 崇史,うえだ たかし,ueda_takashi@example.com,男,79,1940/10/15,既婚,O型,滋賀県,25,048-796-5102,080-4069-9041,ソフトバンク,ぶっかけ・混ぜ混ぜ派
